date,location_name,ili
1997-10-04,US,-0.26871742845882435
1997-10-11,US,-0.16379693046959984
1997-10-18,US,-0.23522681102316198
1997-10-25,US,-0.3877123939539456
1997-11-01,US,-0.19503206237377818
1997-11-08,US,-0.15860739570022409
1997-11-15,US,0.024761460604961757
1997-11-22,US,0.20722894552401958
1997-11-29,US,0.23522681102316198
1997-12-06,US,0.18112809846100747
1997-12-13,US,0.3025122711524693
1997-12-20,US,0.5688141236234143
1997-12-27,US,1.0712435255756014
1998-01-03,US,1.271141049186547
1998-01-10,US,1.2373961309410757
1998-01-17,US,1.2635174770334514
1998-01-24,US,1.581515498967567
1998-01-31,US,1.664317253173256
1998-02-07,US,1.6376312618016522
1998-02-14,US,1.3267091753306528
1998-02-21,US,1.0473045720741652
1998-02-28,US,0.587989248345331
1998-03-07,US,0.01792984134313279
1998-03-14,US,0.0640755353813441
1998-03-21,US,-0.47391771913220704
1998-03-28,US,-0.6249309946883256
1998-04-04,US,-1.1503493803760079
1998-04-11,US,-0.8764412701939556
1998-04-18,US,-1.3518274592132518
1998-04-25,US,-1.2827168891842877
1998-05-02,US,-1.2373961309410764
1998-05-09,US,-1.4233588583261552
1998-05-16,US,-1.4328267421794885
1998-05-23,US,-1.3911863105380502
1998-05-30,US,-1.847229425177057
1998-06-06,US,-1.847229425177057
1998-06-13,US,-1.847229425177057
1998-06-20,US,-1.847229425177057
1998-06-27,US,-1.847229425177057
1998-07-04,US,-1.847229425177057
1998-07-11,US,-1.847229425177057
1998-07-18,US,-1.847229425177057
1998-07-25,US,-1.847229425177057
1998-08-01,US,-1.847229425177057
1998-08-08,US,-1.847229425177057
1998-08-15,US,-1.847229425177057
1998-08-22,US,-1.847229425177057
1998-08-29,US,-1.847229425177057
1998-09-05,US,-1.847229425177057
1998-09-12,US,-1.847229425177057
1998-09-19,US,-1.847229425177057
1998-09-26,US,-1.847229425177057
1998-10-03,US,-1.847229425177057
1998-10-10,US,-1.2300861386810042
1998-10-17,US,-1.07732488233053
1998-10-24,US,-0.7871417185301901
1998-10-31,US,-0.40804245424177155
1998-11-07,US,-0.5920535741075825
1998-11-14,US,-0.6166494957371359
1998-11-21,US,-0.4006306203564969
1998-11-28,US,0.031594235718472675
1998-12-05,US,-0.39878111151566
1998-12-12,US,-0.3602437633824835
1998-12-19,US,-0.34208247145975296
1998-12-26,US,0.06920946614482108
1999-01-02,US,0.34389343327054567
1999-01-09,US,0.3312399908578569
1999-01-16,US,0.813009634989856
1999-01-23,US,1.2447728496072674
1999-01-30,US,1.3734305798541389
1999-02-06,US,1.7140896541772337
1999-02-13,US,1.692244027687454
1999-02-20,US,1.5996645303416062
1999-02-27,US,1.432826742179488
1999-03-06,US,1.356097589027919
1999-03-13,US,0.9955223310808993
1999-03-20,US,0.7257636877462126
1999-03-27,US,0.5066537032437515
1999-04-03,US,-0.05723289707319176
1999-04-10,US,-0.8249490012909761
1999-04-17,US,-1.3734305798541389
